trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
1,2020-04-30 09:20:00,2020-04-30 09:25:00,LONG,8949.53,8922.95,1800,-1.44,False,SL,1,London open
2,2020-06-02 15:00:00,2020-06-02 15:10:00,LONG,9547.47,9521.53,1800,-1.44,False,SL,2,NY open
3,2020-06-26 07:35:00,2020-06-26 08:10:00,LONG,9133.57,9139.86,1800,1.24,True,TIME,7,London open
4,2021-01-03 15:05:00,2021-01-03 15:10:00,LONG,33517.97,33355.09,1800,-1.44,False,SL,1,NY open
5,2021-06-18 16:00:00,2021-06-18 16:25:00,LONG,36418.62,36575.48,1800,6.3,True,TP,5,NY open
6,2021-08-15 08:00:00,2021-08-15 08:35:00,LONG,45740.41,45882.32,1800,5.58,True,TIME,7,London open
7,2021-08-24 13:45:00,2021-08-24 14:05:00,LONG,48602.42,48538.08,1800,-1.44,False,SL,4,NY open
8,2021-09-26 07:55:00,2021-09-26 08:00:00,LONG,41231.34,41461.76,1800,6.3,True,TP,1,London open
9,2022-01-19 07:30:00,2022-01-19 07:35:00,LONG,41331.82,41282.35,1800,-1.44,False,SL,1,London open
10,2023-04-19 08:35:00,2023-04-19 08:40:00,LONG,29361.71,29281.54,1800,-1.44,False,SL,1,London open
11,2023-12-14 13:45:00,2023-12-14 13:55:00,LONG,42400.19,42570.12,1800,6.3,True,TP,2,NY open
12,2024-03-22 14:00:00,2024-03-22 14:05:00,LONG,63416.07,63293.57,1800,-1.44,False,SL,1,NY open
13,2024-04-17 14:35:00,2024-04-17 14:40:00,LONG,61471.56,61833.31,1800,6.3,True,TP,1,NY open
14,2024-04-24 14:45:00,2024-04-24 14:50:00,LONG,65249.01,65088.0,1800,-1.44,False,SL,1,NY open
15,2024-11-14 15:00:00,2024-11-14 15:15:00,LONG,89115.98,88862.0,1800,-1.44,False,SL,3,NY open
16,2024-12-23 14:55:00,2024-12-23 15:00:00,LONG,94389.67,93935.28,1800,-1.44,False,SL,1,NY open
17,2024-12-27 07:55:00,2024-12-27 08:00:00,LONG,95104.76,95495.93,1800,6.3,True,TP,1,London open
