trade_num,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_usd,pnl,win,exit_reason,bars_held,equity_after,session,score,streak_at_entry
1,2026-04-03 09:12:43,2026-04-03 09:19:48,LONG,66886.21,66895.99,66832.7,67053.43,1800,0.26,True,TIME,7,10000.26,London open,,
2,2026-04-03 09:19:48,2026-04-03 09:23:50,LONG,66895.99,66825.46,66842.48,67063.23,1800,-1.44,False,SL,4,9998.82,London open,,
3,2026-04-03 09:23:50,2026-04-03 09:24:51,LONG,66825.46,66768.13,66772.0,66992.52,1800,-1.44,False,SL,1,9997.38,London open,,
4,2026-04-03 09:24:51,2026-04-03 09:31:57,LONG,66768.13,66791.02,66714.72,66935.05,1800,0.62,True,TIME,7,9998.0,London open,,
5,2026-04-03 09:31:57,2026-04-03 09:39:01,LONG,66791.02,66804.58,66737.58,66957.99,1800,0.37,True,TIME,7,9998.37,London open,,
6,2026-04-03 09:39:01,2026-04-03 09:46:07,LONG,66804.58,66880.55,66751.13,66971.59,1800,2.05,True,TIME,7,10000.41,London open,,
7,2026-04-03 13:37:21,2026-04-03 13:44:24,LONG,66595.85,66598.33,66542.57,66762.34,1800,0.07,True,TIME,7,10000.48,NY open,,
8,2026-04-03 13:51:30,2026-04-03 13:59:35,LONG,66534.32,66632.27,66481.09,66700.66,1800,2.65,True,TIME,7,10003.13,NY open,,
1,2026-04-04 08:56:31,2026-04-04 09:20:52,LONG,66913.46,66950.42,61560.38,83641.83,10.4,0.01,True,TIME,24,100.01,London open
